Date,Real_rate,Predict_rate,Prev_rate
2009-01-01,9.5,,8.5
2009-02-01,9.5,,9.5
2009-03-01,10.5,,9.5
2009-04-01,10.5,,10.5
2009-05-01,10.0,,10.5
2009-06-01,9.5,,10.0
2009-07-01,9.0,,9.5
2009-08-01,8.5,,9.0
2009-09-01,8.25,,8.5
2009-10-01,7.25,,8.25
2009-11-01,6.75,,7.25
2009-12-01,6.25,,6.75
2010-01-01,6.0,,6.25
2010-02-01,6.0,,6.0
2010-03-01,5.75,,6.0
2010-04-01,5.5,,5.75
2010-05-01,5.25,,5.5
2010-06-01,5.25,,5.25
2010-07-01,5.0,,5.25
2010-08-01,5.0,,5.0
2010-09-01,5.0,,5.0
2010-10-01,5.0,,5.0
2010-11-01,5.0,,5.0
2010-12-01,5.0,,5.0
2011-01-01,5.0,,5.0
2011-02-01,5.0,,5.0
2011-03-01,5.25,,5.0
2011-04-01,5.25,,5.25
2011-05-01,5.25,,5.25
2011-06-30,8.25,,8.25
2011-07-04,8.25,8.25,8.25
2011-08-04,8.25,8.25,8.25
2011-09-14,8.25,8.25,8.25
2011-10-28,8.25,8.25,8.25
2011-11-25,8.25,8.25,8.25
2011-12-23,8.0,8.25,8.25
2012-02-03,8.0,8.0,8.0
2012-03-13,8.0,8.0,8.0
2012-04-09,8.0,8.0,8.0
2012-05-10,8.0,8.0,8.0
2012-06-15,8.0,8.0,8.0
2012-07-13,8.0,8.0,8.0
2012-08-10,8.0,8.0,8.0
2012-09-13,8.25,8.0,8.0
2012-10-05,8.25,8.25,8.25
2012-11-09,8.25,8.25,8.25
2012-12-10,8.25,8.25,8.25
2013-01-15,8.25,8.25,8.25
2013-02-12,8.25,8.25,8.25
2013-03-15,8.25,8.25,8.25
2013-04-02,8.25,8.25,8.25
2013-05-15,8.25,8.25,8.25
2013-06-10,8.25,8.25,8.25
2013-07-12,8.25,8.25,8.25
2013-08-09,8.25,8.25,8.25
2013-09-13,8.25,8.25,8.25
2013-10-14,5.5,5.5,8.25
2013-11-08,5.5,5.5,5.5
2013-12-13,5.5,5.5,5.5
2014-02-14,5.5,5.5,5.5
2014-03-03,7.0,,5.5
2014-03-14,7.0,7.0,7.0
2014-04-25,7.5,7.0,7.0
2014-06-16,7.5,7.5,7.5
2014-07-25,8.0,7.5,7.5
2014-09-12,8.0,8.0,8.0
2014-10-31,9.5,8.5,8.0
2014-12-11,10.5,10.25,9.5
2014-12-16,17.0,,10.5
2015-01-30,15.0,17.0,17.0
2015-03-13,14.0,15.0,15.0
2015-04-30,12.5,13.0,14.0
2015-06-15,11.5,11.5,12.5
2015-07-31,11.0,11.0,11.5
2015-09-11,11.0,11.0,11.0
2015-10-30,11.0,11.0,11.0
2015-12-11,11.0,11.0,11.0
2016-01-29,11.0,11.0,11.0
2016-03-18,11.0,11.0,11.0
2016-04-29,11.0,11.0,11.0
2016-06-10,10.5,10.5,11.0
2016-07-29,10.5,10.5,10.5
2016-09-16,10.0,10.0,10.5
2016-10-28,10.0,,10.0
2016-12-16,10.0,10.0,10.0
2017-02-03,10.0,9.5,10.0
2017-03-24,9.75,10.0,10.0
2017-04-28,9.25,9.5,9.75
2017-06-16,9.0,8.75,9.25
2017-07-28,9.0,9.0,9.0
2017-09-15,8.5,8.5,9.0
2017-10-27,8.25,8.25,8.5
2017-12-15,7.75,8.0,8.25
2018-02-09,7.5,7.5,7.75
2018-03-23,7.25,7.25,7.5
2018-04-27,7.25,7.25,7.25
2018-06-15,7.25,7.25,7.25
2018-07-27,7.25,7.25,7.25
2018-09-14,7.5,7.25,7.25
2018-10-26,7.5,7.5,7.5
2018-12-14,7.75,7.5,7.5
2019-02-08,7.75,7.75,7.75
2019-03-22,7.75,7.75,7.75
2019-04-26,7.75,7.75,7.75
2019-06-14,7.5,7.5,7.75
2019-07-26,7.25,7.25,7.5
2019-09-06,7.0,7.0,7.25
2019-10-25,6.5,6.75,7.0
2019-12-13,6.25,6.25,6.5
2020-02-07,6.0,6.0,6.25
2020-03-20,6.0,6.0,6.0
2020-04-24,5.5,5.5,6.0
2020-06-19,4.5,4.5,5.5
2020-07-24,4.25,4.25,4.5
2020-09-18,4.25,4.25,4.25
2020-10-23,4.25,4.25,4.25
2020-12-18,4.25,4.25,4.25
2021-02-12,4.25,4.25,4.25
2021-03-19,4.5,4.25,4.25
2021-04-23,5.0,4.75,4.5
2021-06-11,5.5,5.5,5.0
2021-07-23,6.5,6.5,5.5
2021-09-10,6.75,7.0,6.5
2021-10-22,7.5,7.25,6.75
2021-12-17,8.5,8.5,7.5
2022-02-11,9.5,9.5,8.5
2022-02-28,20.0,,9.5
2022-03-18,20.0,20.0,20.0
2022-04-08,17.0,20.0,20.0
2022-04-29,14.0,15.0,17.0
2022-05-26,11.0,20.0,14.0
2022-06-10,9.5,10.0,11.0
2022-07-22,8.0,9.0,9.5
2022-09-19,7.5,7.5,8.0
2022-10-28,7.5,7.5,7.5
2022-12-16,7.5,7.5,7.5
