Month,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01,102.31,102.37,101.64,102.37,100.5,100.97,100.59,103.85,100.96,100.62,100.31,101.01,100.4,100.67,100.99
02,101.2,101.65,100.86,100.78,100.37,100.56,100.7,102.22,100.63,100.22,100.21,100.44,100.33,100.78,101.17
03,101.2,101.31,100.63,100.62,100.58,100.34,101.02,101.21,100.46,100.13,100.29,100.32,100.55,100.66,107.61
04,101.42,100.69,100.29,100.43,100.31,100.51,100.9,100.46,100.44,100.33,100.38,100.29,100.83,100.58,101.56
05,101.35,100.57,100.5,100.48,100.52,100.66,100.9,100.35,100.41,100.37,100.38,100.34,100.27,100.74,100.12
06,100.97,100.6,100.39,100.23,100.89,100.42,100.62,100.19,100.36,100.61,100.49,100.04,100.22,100.69,99.65
07,100.51,100.63,100.36,99.99,101.23,100.82,100.49,100.8,100.54,100.07,100.27,100.2,100.35,100.31,99.61
08,100.36,100.0,100.55,99.76,100.1,100.14,100.24,100.35,100.01,99.46,100.01,99.76,99.96,100.17,99.48
09,100.8,99.97,100.84,99.96,100.55,100.21,100.65,100.57,100.17,99.85,100.16,99.84,99.93,100.6,100.05
10,100.91,100.0,100.5,100.48,100.46,100.57,100.82,100.74,100.43,100.2,100.35,100.13,100.43,101.11,100.18
11,100.83,100.29,100.81,100.42,100.34,100.56,101.28,100.75,100.44,100.22,100.5,100.28,100.71,100.96,100.37
12,100.69,100.41,101.08,100.44,100.54,100.51,102.62,100.77,100.4,100.42,100.84,100.36,100.83,100.82,
